Id,Genre,Song Name, Spectrogram
1,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_1.png
2,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_10.png
3,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_11.png
4,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_12.png
5,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_13.png
6,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_14.png
7,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_15.png
8,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_16.png
9,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_17.png
10,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_18.png
11,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_19.png
12,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_2.png
13,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_20.png
14,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_21.png
15,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_22.png
16,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_23.png
17,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_24.png
18,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_25.png
19,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_26.png
20,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_27.png
21,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_28.png
22,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_29.png
23,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_3.png
24,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_30.png
25,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_31.png
26,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_32.png
27,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_33.png
28,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_34.png
29,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_35.png
30,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_36.png
31,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_37.png
32,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_38.png
33,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_39.png
34,Classical,Beethoven-Symphony 9,Spectrograms/Classical/Beethoven-Symphony 9/Beethoven-Symphony 9_4.png
