track_id,title
2,Food
3,Electric Ave
5,This World
10,Freeway
20,Spiritual Level
26,Where is your Love?
30,Too Happy
46,Yosemite
48,Light of Light
134,Street Music
135,Father's Day
136,Peel Back The Mountain Sky
137,Side A
138,Side B
139,CandyAss
140,Queen Of The Wires
141,Ohio
142,Punjabi Watery Grave
144,Wire Up
145,Amoebiasis
146,Gimme a Buck or I'll Touch You 
147,Repetitive Motion Sickness
148,Blackout 2
149,Outside the window bees buzzed...
150, listening to the sunshine burn the grass
151,Untitled 04
152,Untitled 11
153,Hundred Year Flood
154,Squares And Circles
155,Maps of the Stars Homes
156,Track 01
157,Track 02
158,Track 03
159,Track 04
160,Track 05
161,Track 06
162,Track 07
163,Track 08
164,Track 09
165,Track 10
166,Track 11
167,Track 12
168,Track 13
169,Boss of Goth
170,Industry Standard Massacre
171,Marching as Technitions
172,I Can't Stand You Up right
173,Save Life's Golden Receipt In Case Refund Needed
174,Senator's Stance
175,Snapped Today
176,Step Up to Legends
177,Petty Hate Machine
178,Lend Me a Blanket
179,Ready to Die
181,Gopacapulco
182,Jules Lost His Jewels
183,For Kate I Wait
184,Helen
185,Want Me
188,Piano 1
189,The Thought Of It
190,Castle Of Stars
191,Song About Michael
192,Ed Talk WNYC
193,Here With You
194,All I want to Do
195,I Remember You
196,Bright Mr Brother
197,Piano 2
198,It Breaks My Heart
199,Rimbaud
200,Baby Come Home
201,Big City
202,Palomino
203,Song For R
204,My Dream
205,What Crow Saw
206,Bella Crane
207,Piano 3
208,Safe Harbor
209,Safe Harbor
210,In the French Court
211,In America
212,When I Arive
213,Boute
226,W.T.M.
228,Don't Run With Pizzas
236,Push Am 
237,Garbage 
238,France Attacks
246,Referents
247,A New Map for Kissing
248,Ghosts
249,The Indefinite Time Yet to Come
250,Smoovebiz
251,Nobody Loves Me
252,It's Becoming a Stranger
253,New Life
254,Masters Of Enjoyment
255,We Want to be Old
256,Toggle
257,My Lil'
258,Eyebone
273,Dildoughnuts
274,Land of the Lost
275,Swampus
276,The Devilhellipers
277,Kind Companion
281,Juggernaut
282,New Atlantis A
284,Translucent Human
285,Earth aint Enuff
293,Berserk is the Best
294,Magic Bullet
297,Body on the Tide
300,The Foot Is Stronger Than The Arm
303,Splish spladdy
304,Woo You
305,Disney on Ice
306,The Prime Four
307,Out on the farm
308,The Hotel
309,Where are all the people
310,Going Down to Soho
311,Tropical Holiday Time
312,Tropical Sheep
313,Think Things Of You
314,Daisey Chains
315,Interference
316,Itching in my pants
317,Very Nice
318,1-2-3-4
319,Complete Shakespeare
320,The Natives are Restless
321,Heart Attack
322,Shopping Bag
323,Crocodile Song
324,I just don't know
325,Liquidizing Chickens
326,Burn
327,Hands Beckoning
328,Central Park
330,White Man
331,Weatherman
332,39th floor Club
333,Blah intro
334,Blahpunk
335,Bored
336,Breeder
337,Brian's Garage
338,Cabages in the sunset
339,Chimpanzees disease
340,Circles in London
341,Count Dracula's castle
342,Crash
343,Cybernetics
344,Denver
345,Ding dang (skat)
346,Disco Ghoul
347,Down in the pits again
348,Excretia
349,Garden of Eden
350,Gotta Go
351,Hippopotamus
352,In Arabia
353,In my Grandfather's Clock
354,Julie Andrews
355,Just you wait and see
356,Little White Boxes
357,Mr Mystery
358,My House
359,My Room
360,Radio Jazz with Mr Rhodes
361,Red coated young girlfriend
362,Starsigns
363,Sugar Bowl
364,Sunspot activity
365,The Sound of Music
366,The Swamp
367,There goes my greenhouse
368,Vampires
369,Whistle while you work
370,Why didn't Nero?
371,vermalderhide
384,Baja Jones
385,Lucky 45
386,Clapartroach
387,I wish I wish
